VideoName,Video Name (original),Method Name,Frame number,Total keyP,N visible,Failed detections,failed percent,False detections,false percent,Not Included in Detections,FalseKeyP,Species,Contrast (Fg/BG),Animal Size (pixels diagonal),Area,Height (only for BB),Narea,Boundary
MVI_0133,MVI_0133,Segmentation,37,160,58,26,0.4482758621,128,0.8,,,Fish,0.667,8,45362,,,1
MVI_0134,MVI_0134,Segmentation,1,116,56,39,0.6964285714,99,0.8534482759,,,Fish,0.418,8,35472,,,1
MVI_0134,MVI_0134,Segmentation,2,116,50,35,0.7,101,0.8706896552,,,Fish,0.687,6,30376,,,1
MVI_0134,MVI_0134,Segmentation,3,130,58,46,0.7931034483,118,0.9076923077,,,Fish,0.641,9,53553,,,1
MVI_0134,MVI_0134,Segmentation,4,107,59,37,0.6271186441,85,0.7943925234,,,Fish,0.583,8,60678,,,0
MVI_0134,MVI_0134,Segmentation,5,116,60,41,0.6833333333,97,0.8362068966,,,Fish,0.512,8,75664,,,1
MVI_0134,MVI_0134,Segmentation,6,136,60,37,0.6166666667,113,0.8308823529,,,Fish,0.594,7,16110,,,1
MVI_0134,MVI_0134,Segmentation,7,121,56,36,0.6428571429,101,0.8347107438,,,Fish,0.614,6,30846,,,1
MVI_0134,MVI_0134,Segmentation,8,120,59,38,0.6440677966,99,0.825,,,Fish,0.477,11,39044,,,0
MVI_0134,MVI_0134,Segmentation,9,106,57,42,0.7368421053,91,0.858490566,,,Fish,0.756,8,83917,,,1
MVI_0134,MVI_0134,Segmentation,10,146,60,51,0.85,137,0.9383561644,,,Fish,0.66,9,1120225,,,0
MVI_0134,MVI_0134,Segmentation,11,109,60,56,0.9333333333,105,0.9633027523,,,Fish,0.7,8,113140,,,1
MVI_0134,MVI_0134,Segmentation,12,131,56,34,0.6071428571,109,0.8320610687,,,Fish,0.465,7,38675,,,1
MVI_0134,MVI_0134,Segmentation,13,133,59,24,0.406779661,98,0.7368421053,,,Fish,0.761,11,10530,,,1
MVI_0134,MVI_0134,Segmentation,14,116,60,45,0.75,101,0.8706896552,,,Fish,0.68,10,14862,,,1
MVI_0134,MVI_0134,Segmentation,15,110,55,43,0.7818181818,98,0.8909090909,,,Fish,0.496,9,31629,,,1
MVI_0134,MVI_0134,Segmentation,16,113,58,43,0.7413793103,98,0.8672566372,,,Fish,0.647,7,20436,,,1
