VideoName,Method Name,Frame number,N (Total visible individuals),Total detections by Algo,Failed detections,failed percent,False detections,false percent,Species,Contrast (Fg/BG),Animal Size ,Density (Area/N),Height (only for BB),step size
25MarchEve06.MOV,Segmentation,5,31,18,16,0.5161290323,3,0.0967741936,BB,1.38,42,196517,,500
25MarchEve06.MOV,Segmentation,6,29,15,15,0.5172413793,1,0.0344827586,BB,1.84,45,163792,,500
25MarchEve06.MOV,Segmentation,7,32,43,7,0.21875,18,0.5625,BB,1.29,43,206274,,500
25MarchEve06.MOV,Segmentation,8,30,37,7,0.2333333333,14,0.4666666667,BB,1.23,33,227327,,500
25MarchEve06.MOV,Segmentation,9,31,31,9,0.2903225806,9,0.2903225806,BB,1.55,63,261965,,500
26MarchEve01.MOV,Segmentation,1,15,15,9,0.6,9,0.6,BB,1.8,28,73084,,500
26MarchEve01.MOV,Segmentation,2,14,16,4,0.2857142857,6,0.4285714286,BB,1.65,48,103763,,500
26MarchEve01.MOV,Segmentation,3,12,13,5,0.4166666667,6,0.5,BB,1.38,52,198923,,500
26MarchEve01.MOV,Segmentation,4,14,13,6,0.4285714286,5,0.3571428571,BB,2.45,35,129255,,500
26MarchEve01.MOV,Segmentation,5,13,13,4,0.3076923077,4,0.3076923077,BB,2.34,27,111078,,500
26MarchEve01.MOV,Segmentation,6,17,19,6,0.3529411765,8,0.4705882353,BB,2.21,29,281449,,500
26MarchEve01.MOV,Segmentation,7,14,19,6,0.4285714286,11,0.7857142857,BB,1.6,35,254997,,500
26MarchEve01.MOV,Segmentation,8,15,21,4,0.2666666667,10,0.6666666667,BB,1.77,38,308549,,500
26MarchEve01.MOV,Segmentation,9,15,15,8,0.5333333333,8,0.5333333333,BB,1.26,41,287889,,500
26MarchEve01.MOV,Segmentation,10,16,17,7,0.4375,8,0.5,BB,1.34,40,193615,,500
26MarchEve01.MOV,Segmentation,11,18,17,8,0.4444444444,7,0.3888888889,BB,1.66,52,202992,,500
26MarchEve01.MOV,Segmentation,12,13,15,5,0.3846153846,7,0.5384615385,BB,1.3,47,302553,,500
26MarchEve01.MOV,Segmentation,13,16,16,7,0.4375,7,0.4375,BB,1.36,42,336294,,500
26MarchEve01.MOV,Segmentation,14,14,15,7,0.5,8,0.5714285714,BB,1.38,47,327366,,500
26MarchEve01.MOV,Segmentation,15,15,13,6,0.4,4,0.2666666667,BB,1.9,42,235893,,500
26MarchEve01.MOV,Segmentation,16,14,9,5,0.3571428571,0,0,BB,1.28,52,267859,,500
26MarchEve01.MOV,Segmentation,17,12,9,5,0.4166666667,2,0.1666666667,BB,1.37,47,264807,,500
26MarchEve01.MOV,Segmentation,18,15,9,6,0.4,0,0,BB,1.48,49,180887,,500
26MarchEve01.MOV,Segmentation,19,15,8,7,0.4666666667,0,0,BB,1.55,53,379255,,500
26MarchEve01.MOV,Segmentation,20,13,14,6,0.4615384615,7,0.5384615385,BB,1.2,51,348429,,500
26MarchEve01.MOV,Segmentation,21,18,17,6,0.3333333333,5,0.2777777778,BB,1.86,63,371603,,500
26MarchEve01.MOV,Segmentation,22,15,16,4,0.2666666667,5,0.3333333333,BB,1.78,37,244489,,500
26MarchEve01.MOV,Segmentation,23,13,12,5,0.3846153846,4,0.3076923077,BB,1.25,44,464811,,500
26MarchEve01.MOV,Segmentation,24,14,14,3,0.2142857143,3,0.2142857143,BB,1.76,58,199285,,500
26MarchEve01.MOV,Segmentation,25,13,16,4,0.3076923077,7,0.5384615385,BB,1.89,51,295128,,500
26MarchEve01.MOV,Segmentation,26,17,16,6,0.3529411765,5,0.2941176471,BB,2.32,52,309086,,500
26MarchEve01.MOV,Segmentation,27,18,17,6,0.3333333333,5,0.2777777778,BB,2.21,57,187324,,500
26MarchEve01.MOV,Segmentation,28,19,21,5,0.2631578947,7,0.3684210526,BB,1.68,49,676347,,500
26MarchEve01.MOV,Segmentation,29,20,22,6,0.3,8,0.4,BB,1.6,43,271866,,500
26MarchEve01.MOV,Segmentation,30,22,18,10,0.4545454545,6,0.2727272727,BB,1.29,47,259663,,500
26MarchEve01.MOV,Segmentation,31,21,20,11,0.5238095238,10,0.4761904762,BB,1.89,48,121431,,500
26MarchEve01.MOV,Segmentation,32,23,18,12,0.5217391304,7,0.3043478261,BB,1.98,62,107509,,500
26MarchEve01.MOV,Segmentation,33,26,24,8,0.3076923077,6,0.2307692308,BB,1.91,39,63020,,500
26MarchEve02.MOV,Segmentation,1,35,26,17,0.4857142857,8,0.2285714286,BB,1.2,40,179492,,500
26MarchEve02.MOV,Segmentation,2,33,31,8,0.2424242424,6,0.1818181818,BB,1.36,42,110009,,500
26MarchEve02.MOV,Segmentation,3,27,18,13,0.4814814815,4,0.1481481481,BB,1.33,41,274575,,500
26MarchEve02.MOV,Segmentation,4,27,16,12,0.4444444444,1,0.037037037,BB,1.6,59,336026,,500
26MarchEve02.MOV,Segmentation,5,25,17,10,0.4,2,0.08,BB,1.79,56,235017,,500
26MarchEve02.MOV,Segmentation,6,25,24,8,0.32,7,0.28,BB,1.79,55,188377,,500
26MarchEve02.MOV,Segmentation,7,16,16,7,0.4375,7,0.4375,BB,1.91,63,308504,,500
26MarchEve02.MOV,Segmentation,8,24,18,7,0.2916666667,1,0.0416666667,BB,1.98,49,370962,,500
26MarchEve02.MOV,Segmentation,9,22,17,8,0.3636363636,3,0.1363636364,BB,1.94,48,258128,,500
26MarchEve02.MOV,Segmentation,10,20,21,5,0.25,6,0.3,BB,0.21,32,162448,,500
