"","VideoName","Video.Name..original.","Species","Method.Name","Frame.original.num","Frame.number","Total.keyP","N.visible","Failed.detections","failed.percent","False.detections","false.percent","Total.Error","Not.Included.in.Detections","FalseKeyP","Contrast..Fg.BG.","ANN","Movement","Boundary"
"985","MVI_0133","MVI_0133","Fish","Subtraction",9,4500,58,60,2,0.0333333333,0,0,0.0333333333,NA,NA,NA,NA,NA,1
"795","MVI_0049","MVI_0049","Fish","Subtraction",3,1500,57,60,3,0.05,0,0,0.05,NA,NA,NA,NA,NA,0
"980","MVI_0133","MVI_0133","Fish","Subtraction",4,2000,56,59,3,0.0508474576,0,0,0.0508474576,NA,NA,NA,NA,NA,1
"1041","MVI_0134","MVI_0134","Fish","Subtraction",29,14500,54,58,4,0.0689655172,0,0,0.0689655172,NA,NA,NA,NA,NA,1
"1034","MVI_0134","MVI_0134","Fish","Subtraction",22,11000,51,56,5,0.0892857143,0,0,0.0892857143,NA,NA,NA,NA,NA,1
"996","MVI_0133","MVI_0133","Fish","Subtraction",20,10000,50,57,7,0.1228070175,0,0,0.1228070175,NA,NA,NA,NA,NA,1
"878","MVI_0051","MVI_0051","Fish","Subtraction",13,6500,51,60,9,0.15,0,0,0.15,NA,NA,NA,NA,NA,0
"879","MVI_0051","MVI_0051","Fish","Subtraction",14,7000,50,60,10,0.1666666667,0,0,0.1666666667,NA,NA,NA,NA,NA,1
"805","MVI_0049","MVI_0049","Fish","Subtraction",13,6500,48,60,12,0.2,0,0,0.2,NA,NA,NA,NA,NA,0
"860","MVI_0050","MVI_0050","Fish","Subtraction",31,15500,44,57,13,0.2280701754,0,0,0.2280701754,NA,NA,NA,NA,NA,0
"823","MVI_0049","MVI_0049","Fish","Subtraction",31,15500,44,60,16,0.2666666667,0,0,0.2666666667,NA,NA,NA,NA,NA,0
"2020","v57_0010","v57_0010","Wasp","Subtraction",13501,13500,41,10,3,0.3,0,0,0.3,NA,NA,NA,NA,NA,NA
"1005","MVI_0133","MVI_0133","Fish","Subtraction",29,14500,41,60,19,0.3166666667,0,0,0.3166666667,NA,NA,NA,NA,NA,1
